Name,Gmail (their phone's Play Store account),Device + Android version,Tier,Invited,Opted-in,Installed?,Opened 2+ times?,Feedback?,Feedback / bug notes,Status
Jane Player,jane@gmail.com,Pixel 7 / Android 14,1 (teammate),2026-06-19,2026-06-19,Yes,Yes,Yes,Profile photo upload felt slow,Active
John Coach,john@gmail.com,Samsung S22 / Android 13,1 (coach),2026-06-19,,No,No,No,,Invited — not joined yet
Sam Club,sam@gmail.com,Pixel 6a / Android 14,2 (club WhatsApp),2026-06-20,2026-06-20,Yes,No,No,,Joined — nudge to open
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
